Species ID,Display Order,Fun Fact,Source URL,Verified,,
sp_common_mormon,1,"The Common Mormon’s entire life cycle, from egg-laying to the death of the adult, can last about 30 to 43 days.",https://animaldiversity.org/accounts/Papilio_polytes/,PASS,,
sp_common_mormon,2,Common Mormon eggs usually hatch after only 3 to 5 days.,https://animaldiversity.org/accounts/Papilio_polytes/,PASS,,
sp_common_mormon,3,"Common Mormon caterpillars pass through five growth stages, called instars, before becoming pupae.",https://animaldiversity.org/accounts/Papilio_polytes/,PASS,,
sp_common_mormon,4,"Young Common Mormon caterpillars have white markings that make them look like bird droppings, helping camouflage them from predators.",https://animaldiversity.org/accounts/Papilio_polytes/,PASS,,
sp_common_mormon,5,"When threatened, a Common Mormon caterpillar can push out a forked organ called an osmeterium that releases unpleasant chemicals to discourage predators.",https://animaldiversity.org/accounts/Papilio_polytes/,PASS,,
sp_common_mormon,6,"Some female Common Mormons mimic butterflies that predators find unpleasant to eat, such as the Common Rose and Crimson Rose.",https://animaldiversity.org/accounts/Papilio_polytes/,PASS,,
sp_common_mormon,7,This protective trick is called Batesian mimicry: the edible Common Mormon copies butterflies that predators avoid.,https://animaldiversity.org/accounts/Papilio_polytes/,PASS,,
sp_common_mormon,8,Some female Common Mormons copy both the look and the flying style of butterflies that predators avoid.,https://animaldiversity.org/accounts/Papilio_polytes/,PASS,,
sp_common_mormon,9,Male Common Mormons gather minerals from moist ground and other damp places through a behaviour called puddling,https://animaldiversity.org/accounts/Papilio_polytes/,PASS,,
sp_common_mormon,10,Minerals collected by males during puddling can later be transferred to females during mating and can improve egg-hatching success.,https://animaldiversity.org/accounts/Papilio_polytes/,PASS,,
sp_tailed_jay,1,A Tailed Jay can develop from an egg into an adult butterfly in about 33–36 days.,https://en.wikipedia.org/wiki/Graphium_agamemnon,PASS,,
sp_tailed_jay,2,Tailed Jay eggs are laid one at a time on young leaves and usually hatch after only 3–4 days.,https://en.wikipedia.org/wiki/Graphium_agamemnon,PASS,,
sp_tailed_jay,3,"After hatching, a young Tailed Jay caterpillar usually eats its own empty eggshell as its first meal.",https://butterflycircle.blogspot.com/2009/05/life-history-of-tailed-jay.html,PASS,,
sp_tailed_jay,4,"Tailed Jay caterpillars go through five growth stages, called instars, over about 15–16 days.",https://en.wikipedia.org/wiki/Graphium_agamemnon,PASS,,
sp_tailed_jay,5,"Between feeding periods, Tailed Jay caterpillars often rest along the middle vein of a leaf.",https://butterflycircle.blogspot.com/2009/05/life-history-of-tailed-jay.html,PASS,,
sp_tailed_jay,6,"When disturbed, a Tailed Jay caterpillar can push out a hidden, forked organ called an osmeterium, which releases a smelly secretion to help discourage predators.","https://en.wikipedia.org/wiki/Graphium_agamemnon
https://en.wikipedia.org/wiki/Osmeterium",PASS,,
sp_tailed_jay,7,"Before becoming a pupa, the caterpillar prepares a silk pad and a silk “belt” called a girdle to help hold itself in place.",https://butterflycircle.blogspot.com/2009/05/life-history-of-tailed-jay.html,PASS,,
sp_tailed_jay,8,"The Tailed Jay’s pupal stage lasts about 12–13 days, and just before the adult emerges, its green wing spots can become visible through the pupal skin.",https://butterflycircle.blogspot.com/2009/05/life-history-of-tailed-jay.html,PASS,,
sp_tailed_jay,9,Tailed Jays develop so quickly that there can be seven or eight generations in one year,https://en.wikipedia.org/wiki/Graphium_agamemnon,PASS,,
sp_tailed_jay,10,Tailed Jays are strong and restless fliers and may keep fluttering their wings even while visiting flowers.,https://en.wikipedia.org/wiki/Graphium_agamemnon,PASS,,
sp_oriental_pied_hornbill,1,"Oriental Pied Hornbills can make crow-like calls, braying sounds, harsh crackles and screeches.","https://en.wikipedia.org/wiki/Oriental_pied_hornbill
https://www.nparks.gov.sg/florafaunaweb/fauna/1/7/174",PASS,,
sp_oriental_pied_hornbill,2,Oriental Pied Hornbills usually form one breeding pair rather than having several mates at the same time.,"https://en.wikipedia.org/wiki/Oriental_pied_hornbill
https://www.nparks.gov.sg/florafaunaweb/fauna/1/7/174",PASS,,
sp_oriental_pied_hornbill,3,"They usually do not dig their own nest holes. Instead, they use existing cavities in trees.","https://en.wikipedia.org/wiki/Oriental_pied_hornbill
https://www.nparks.gov.sg/florafaunaweb/fauna/1/7/174",PASS,,
sp_oriental_pied_hornbill,4,"After entering a nest cavity, the female seals most of the entrance using materials such as mud, plant material and other natural materials.","https://en.wikipedia.org/wiki/Oriental_pied_hornbill
https://www.nparks.gov.sg/florafaunaweb/fauna/1/7/174",PASS,,
sp_oriental_pied_hornbill,5,The female leaves only a narrow opening in the sealed nest so food can still be passed inside.,"https://en.wikipedia.org/wiki/Oriental_pied_hornbill
https://www.nparks.gov.sg/florafaunaweb/fauna/1/7/174",PASS,,
sp_oriental_pied_hornbill,6,"While the female is sealed inside the nest, the male collects food and passes it to her through the small opening.","https://en.wikipedia.org/wiki/Oriental_pied_hornbill
https://www.nparks.gov.sg/florafaunaweb/fauna/1/7/174",PASS,,
sp_oriental_pied_hornbill,7,"After the chicks hatch, the female feeds them with food brought to the nest by the male.","https://en.wikipedia.org/wiki/Oriental_pied_hornbill
https://www.nparks.gov.sg/florafaunaweb/fauna/1/7/174",PASS,,
sp_oriental_pied_hornbill,8,The female and chicks can remain inside the nest cavity for several months before the young birds are ready to leave.,"https://en.wikipedia.org/wiki/Oriental_pied_hornbill
https://www.nparks.gov.sg/florafaunaweb/fauna/1/7/174",PASS,,
sp_oriental_pied_hornbill,9,Oriental Pied Hornbills may return to the same nest they used in an earlier breeding season.,"https://en.wikipedia.org/wiki/Oriental_pied_hornbill
https://www.nparks.gov.sg/florafaunaweb/fauna/1/7/174",PASS,,
sp_oriental_pied_hornbill,10,"Their breeding season can begin around February, and its timing can coincide with the beginning of the rainy season and greater fruit availability, depending on location.","https://en.wikipedia.org/wiki/Oriental_pied_hornbill
https://www.nparks.gov.sg/florafaunaweb/fauna/1/7/174",PASS,,
sp_rhinoceros_hornbill,1,The orange and red colour on a Rhinoceros Hornbill’s bill and casque comes from oil that the bird rubs onto them from a gland near its tail.,https://en.wikipedia.org/wiki/Rhinoceros_hornbill,PASS,,
sp_rhinoceros_hornbill,2,"Rhinoceros Hornbills can make a loud two-part call that can be heard from several kilometres away, and pairs may call together as a duet.",https://iucnhornbills.org/rhinoceros-hornbill/,PASS,,
sp_rhinoceros_hornbill,3,Their wings make a loud whooshing sound when they fly.,https://iucnhornbills.org/rhinoceros-hornbill/,PASS,,
sp_rhinoceros_hornbill,4,"During nesting, the female stays inside a tree cavity with the eggs and chicks while the male brings food to the nest.",https://en.wikipedia.org/wiki/Rhinoceros_hornbill,PASS,,
